symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH601068,中铝国际,4.62,+0.17,3.82%,-1.91%,10085851,46496290.0,0.39%,,,13670888002.0
SH600696,岩石股份,20.96,+0.77,3.81%,-15.76%,1340692,27901756.0,0.4%,129.445,,7010479274.0
SH600298,安琪酵母,34.28,+1.25,3.78%,-23.2%,9042591,311042909.0,1.05%,22.294,1.459%,29780828124.0
SH603297,永新光学,81.54,+2.97,3.78%,-0.59%,543716,44137082.0,0.49%,35.078,1.171%,9056443950.0
SH603013,亚普股份,15.93,+0.58,3.78%,14.78%,9196647,144818042.0,1.8%,15.713,3.139%,8165706276.0
SH603926,铁流股份,11.25,+0.41,3.78%,25.63%,4110520,45649944.0,1.97%,27.593,0.978%,2582240974.0
SH600480,凌云股份,9.06,+0.33,3.78%,7.93%,11218554,101935136.0,1.22%,16.429,1.214%,8521889545.0
SH600583,海油工程,6.31,+0.23,3.78%,5.85%,33907214,215115275.0,0.77%,14.247,1.585%,27898748788.0
SH603010,万盛股份,10.79,+0.39,3.75%,-7.18%,3516976,37881173.0,0.72%,26.327,1.854%,6361553018.0
SH600720,祁连山,10.82,+0.39,3.74%,8.96%,10177334,110769692.0,1.31%,17.005,4.159%,8399460851.0
SH603617,君禾股份,7.8,+0.28,3.72%,-14.81%,7053436,54610549.0,1.8%,122.619,0.385%,3050356429.0
SH600231,凌钢股份,2.24,+0.08,3.7%,4.19%,13773150,30620700.0,0.48%,,4.33%,6388836931.0
SH600819,耀皮玻璃,4.76,+0.17,3.7%,3.13%,6678200,31649454.0,0.89%,,0.105%,4450200488.0
SH600727,鲁北化工,5.9,+0.21,3.69%,-10.33%,6460081,37956144.0,1.22%,,1.695%,3118640497.0
SH601238,广汽集团,10.16,+0.36,3.67%,-5.83%,35660164,359802147.0,0.49%,20.162,2.264%,106534719366.0
SH600805,悦达投资,4.24,+0.15,3.67%,-0.24%,5717384,24000804.0,0.67%,,,3607792655.0
SH603615,茶花股份,9.91,+0.35,3.66%,26.15%,10860721,106344675.0,4.49%,,1.009%,2396436200.0
SH600593,大连圣亚,16.2,+0.57,3.65%,-3.23%,2514900,40323468.0,1.95%,213.403,,2086560000.0
SH600883,博闻科技,7.99,+0.28,3.63%,12.09%,2876200,22824447.0,1.22%,20.661,1.314%,1886343120.0
SH603860,中公高科,26.29,+0.92,3.63%,13.65%,1125200,29440395.0,1.69%,39.135,0.437%,1753017200.0
SH600331,宏达股份,4.32,+0.15,3.6%,50.52%,45277599,194758925.0,2.23%,,,8778240000.0
SH601808,中海油服,16.11,+0.56,3.6%,-1.74%,8756632,141415175.0,0.3%,29.724,0.993%,76870347120.0
SH600507,方大特钢,4.63,+0.16,3.58%,-23.09%,16258014,75113892.0,0.72%,47.352,23.974%,10792808832.0
SH600778,友好集团,6.08,+0.21,3.58%,-11.63%,6126287,37105553.0,1.97%,,,1893867420.0
SH603128,华贸物流,7.25,+0.25,3.57%,-29.95%,24470322,176872354.0,1.86%,12.598,4.69%,9563016010.0
SH603677,奇精机械,13.92,+0.48,3.57%,25.9%,6219878,86132971.0,3.24%,38.262,1.078%,2674677804.0
SH600808,马钢股份,2.61,+0.09,3.57%,-6.39%,35465879,92268287.0,0.59%,,0.766%,20279144555.0
SH600099,林海股份,9.02,+0.31,3.56%,3.53%,2790100,25021592.0,1.27%,200.065,0.333%,1976462400.0
SH600168,武汉控股,6.4,+0.22,3.56%,5.26%,6930688,44187277.0,0.98%,17.966,2.641%,4541246029.0
SH601368,绿城水务,5.27,+0.18,3.54%,1.26%,18599480,97715558.0,2.11%,34.478,1.063%,4653268116.0
SH600984,建设机械,4.09,+0.14,3.54%,-25.09%,18425160,76611389.0,1.47%,,2.812%,5141309653.0
SH600528,中铁工业,8.22,+0.28,3.53%,9.45%,19487144,162437857.0,0.88%,9.405,1.776%,18261154053.0
SH600724,宁波富达,3.81,+0.13,3.53%,8.66%,9135753,34706976.0,0.63%,23.169,3.937%,5506368481.0
SH600818,中路股份,12.94,+0.44,3.52%,-52.46%,4522600,58023655.0,1.9%,,0.51%,4159535955.0
SH600587,新华医疗,22.96,+0.78,3.52%,7.65%,21782509,512314504.0,4.91%,16.202,0.653%,10715018467.0
SH600060,海信视像,22.71,+0.77,3.51%,72.66%,9386615,208095294.0,0.73%,13.497,2.836%,29696781962.0
SH605178,时空科技,20.39,+0.69,3.5%,11.73%,1311420,26561236.0,2.11%,,,2023740124.0
SH600081,东风科技,11.25,+0.38,3.5%,14.44%,13336342,149030719.0,3.0%,69.642,0.533%,6506364701.0
SH600455,博通股份,23.24,+0.78,3.47%,5.06%,1539400,35493527.0,2.46%,52.514,,1451523920.0
SH603113,金能科技,8.34,+0.28,3.47%,-6.7%,5378579,44880263.0,0.63%,509.736,1.451%,7071889956.0
SH601005,重庆钢铁,1.49,+0.05,3.47%,-5.7%,103535870,154935552.0,1.24%,,,13288717378.0
SH600671,*ST目药,10.76,+0.36,3.46%,13.14%,2561428,26925159.0,2.1%,,,1310340803.0
SH603017,中衡设计,10.17,+0.34,3.46%,14.41%,2863048,28928885.0,1.04%,29.138,2.95%,2805961762.0
SH601992,金隅集团,2.1,+0.07,3.45%,-14.73%,60968827,128664158.0,0.73%,,3.19%,22423319381.0
SH600599,ST熊猫,13.85,+0.46,3.44%,-1.0%,6209160,85346839.0,3.74%,37.33,,2299100000.0
SH603118,共进股份,10.87,+0.36,3.43%,38.51%,24862921,271435471.0,3.16%,36.148,1.196%,8600449015.0
SH600785,新华百货,13.58,+0.45,3.43%,-26.25%,2998910,40590511.0,1.33%,21.136,0.736%,3064072782.0
SH603660,苏州科达,6.33,+0.21,3.43%,21.73%,9036161,57073532.0,1.83%,,0.616%,3183367052.0
SH603280,南方路机,23.88,+0.79,3.42%,-1.28%,3286326,78517329.0,12.13%,21.272,1.34%,2588751208.0
SH600889,南京化纤,5.14,+0.17,3.42%,3.21%,4995101,25554941.0,1.36%,,,1883018491.0
SH600213,亚星客车,9.38,+0.31,3.42%,-22.67%,8390437,78592168.0,2.93%,,,2682680000.0
SH603009,北特科技,9.41,+0.31,3.41%,58.33%,42645677,386382477.0,12.6%,87.217,0.425%,3375650137.0
SH605081,太和水,13.64,+0.45,3.41%,-14.38%,2549755,34560077.0,2.99%,,5.059%,1544690062.0
SH603759,海天股份,8.79,+0.29,3.41%,-1.9%,5035760,44087011.0,2.58%,17.924,1.581%,4058870400.0
SH600248,陕建股份,4.32,+0.14,3.35%,5.03%,39647709,171433179.0,2.73%,4.45,2.315%,16281571476.0
SH603429,集友股份,8.32,+0.27,3.35%,-23.53%,6117636,50694060.0,1.17%,26.466,1.743%,4363719069.0
SH600288,大恒科技,9.71,+0.31,3.3%,-19.89%,3982900,38306514.0,0.91%,58.588,0.082%,4241328000.0
SH603458,勘设股份,9.1,+0.29,3.29%,-2.0%,3531212,32023917.0,1.13%,19.051,1.791%,2855617738.0
SH601199,江南水务,5.34,+0.17,3.29%,-19.26%,26110900,139551799.0,2.79%,16.278,1.685%,4994022959.0
SH605018,长华集团,10.98,+0.35,3.29%,7.75%,3628608,39781641.0,0.77%,50.161,1.721%,5177128776.0
SH600653,申华控股,1.89,+0.06,3.28%,0.0%,24813912,46525333.0,1.27%,,,3678658799.0
SH605086,龙高股份,20.8,+0.66,3.28%,9.97%,1329791,27387318.0,2.6%,23.958,1.587%,2662400000.0
SH603200,上海洗霸,17.01,+0.54,3.28%,3.05%,1880599,31894838.0,1.08%,207.565,0.441%,2966064301.0
SH600676,交运股份,4.1,+0.13,3.27%,5.94%,6246507,25498312.0,0.61%,24.608,,4216821070.0
SH603956,威派格,8.2,+0.26,3.27%,11.35%,36058781,298970140.0,7.09%,,1.22%,4169169977.0
SH600763,通策医疗,83.24,+2.63,3.26%,-45.59%,4464851,368155612.0,1.39%,48.988,,26690073600.0
SH600668,尖峰集团,11.13,+0.35,3.25%,-11.49%,4470503,50042037.0,1.3%,15.027,1.348%,3829653006.0
SH600512,腾达建设,2.54,+0.08,3.25%,-0.78%,21703623,55114277.0,1.37%,35.743,0.787%,4061213193.0
SH603838,四通股份,6.35,+0.2,3.25%,10.07%,2168200,13667103.0,0.68%,,0.63%,2032101600.0
SH605005,合兴股份,17.51,+0.55,3.24%,16.47%,2131337,37240238.0,4.16%,33.541,0.862%,7021510000.0
SH600310,广西能源,3.52,+0.11,3.23%,11.39%,31763100,111631577.0,2.61%,,0.483%,5159301741.0
SH603817,海峡环保,6.07,+0.19,3.23%,1.25%,6264102,37746845.0,1.21%,18.829,0.923%,3243551980.0
SH601003,柳钢股份,3.55,+0.11,3.2%,-5.08%,12490740,44295156.0,0.49%,,4.958%,9097915860.0
SH601111,中国国航,7.41,+0.23,3.2%,-30.09%,54874007,404869869.0,0.5%,,,120047874930.0
SH603899,晨光股份,36.23,+1.12,3.19%,-33.37%,4699746,168947770.0,0.51%,24.716,1.38%,33570593731.0
SH600626,申达股份,3.56,+0.11,3.19%,-1.11%,8383815,29738787.0,0.98%,,0.225%,4701851015.0
SH601717,郑煤机,12.65,+0.39,3.18%,18.82%,6736634,84824902.0,0.44%,8.176,4.435%,22523552321.0
SH600295,鄂尔多斯,9.14,+0.28,3.16%,-9.14%,6003832,54990588.0,0.3%,8.026,7.812%,25580814962.0
SH603197,保隆科技,60.84,+1.86,3.15%,29.33%,3127219,190300664.0,1.5%,38.397,0.503%,12887104707.0
SH600234,科新发展,7.23,+0.22,3.14%,3.73%,5031528,36165407.0,2.49%,,,1898026635.0
SH603181,皇马科技,10.51,+0.32,3.14%,-26.19%,1259000,13115068.0,0.21%,18.711,0.951%,6187237000.0
SH600636,国新文化,9.56,+0.29,3.13%,1.77%,7070087,67279696.0,1.61%,31.521,1.046%,4210692775.0
SH600581,八一钢铁,3.97,+0.12,3.12%,0.25%,27163477,107812703.0,1.77%,,,6134533404.0
SH600738,丽尚国潮,5.31,+0.16,3.11%,-26.25%,4566900,23912936.0,0.6%,,1.337%,4042690103.0
SH600640,国脉文化,9.96,+0.3,3.11%,3.21%,3997586,39720958.0,0.5%,,,7925131562.0
SH600415,小商品城,7.97,+0.24,3.1%,53.35%,75333460,599329912.0,1.38%,24.271,0.816%,43724011183.0
SH601388,怡球资源,2.66,+0.08,3.1%,-19.34%,15360983,40620930.0,0.7%,26.969,1.316%,5855338183.0
SH603700,宁水集团,14.06,+0.42,3.08%,9.2%,2036500,28547444.0,1.0%,20.913,2.134%,2857582520.0
SH600722,金牛化工,4.69,+0.14,3.08%,-3.89%,5163980,24120570.0,0.76%,67.378,,3190699280.0
SH600170,上海建工,2.68,+0.08,3.08%,4.88%,65655601,175468433.0,0.74%,7.745,1.866%,23814318514.0
SH603662,柯力传感,27.12,+0.81,3.08%,66.52%,9434921,260009188.0,3.36%,28.06,1.025%,7661535383.0
SH600493,凤竹纺织,6.05,+0.18,3.07%,-2.53%,12424202,74871670.0,4.57%,105.292,0.479%,1645600000.0
SH601677,明泰铝业,12.09,+0.36,3.07%,-32.54%,21122847,255818353.0,1.93%,10.999,1.117%,14417228606.0
SH600116,三峡水利,7.74,+0.23,3.06%,-8.16%,26279289,203700356.0,1.37%,40.486,1.938%,14799986077.0
SH600985,淮北矿业,14.2,+0.42,3.05%,20.72%,21222532,304248258.0,0.86%,4.998,7.394%,35230746274.0
SH601100,恒立液压,56.07,+1.66,3.05%,-10.34%,5127070,288278977.0,0.38%,29.317,1.106%,75179833021.0
SH600847,万里股份,10.85,+0.32,3.04%,-29.18%,1728600,18738293.0,1.13%,,,1663168290.0
SH603319,湘油泵,16.64,+0.49,3.03%,13.33%,4181346,69383236.0,2.02%,16.706,1.502%,3462225928.0
SH600496,精工钢构,3.4,+0.1,3.03%,-13.11%,20415084,69276303.0,1.01%,9.54,1.059%,6843804260.0
SH601699,潞安环能,19.38,+0.57,3.03%,34.72%,34294384,664779911.0,1.15%,4.258,14.706%,57973510296.0
SH600321,正源股份,1.7,+0.05,3.03%,-6.08%,22435900,38073935.0,1.49%,,,2567935000.0
SH601618,中国中冶,3.41,+0.1,3.02%,9.49%,68915965,233986967.0,0.39%,6.083,2.434%,70667541370.0
SH603272,联翔股份,17.08,+0.5,3.02%,-0.16%,1222543,20808186.0,2.88%,84.539,2.635%,1769949160.0
SH603679,华体科技,14.99,+0.44,3.02%,25.65%,18227421,271902073.0,11.17%,,,2446041383.0
SH603027,千禾味业,16.06,+0.47,3.01%,-22.33%,15444519,247259378.0,1.61%,34.266,0.629%,16506806641.0
SH603686,福龙马,9.61,+0.28,3.0%,14.12%,8018383,76713011.0,1.93%,16.085,2.601%,3994451633.0
SH600523,贵航股份,12.72,+0.37,3.0%,-34.34%,3468804,43983317.0,0.86%,36.117,0.865%,5142839990.0
SH600960,渤海汽车,4.12,+0.12,3.0%,20.82%,77611029,319383611.0,8.17%,,,3916123934.0
SH600075,新疆天业,4.47,+0.13,3.0%,-16.56%,10321036,46078923.0,0.81%,,2.237%,7631906504.0
SH603859,能科科技,38.08,+1.11,3.0%,45.73%,1875336,71724437.0,1.13%,26.955,0.263%,6342922121.0
SH600190,锦州港,3.1,+0.09,2.99%,-12.18%,29307700,90603924.0,1.65%,64.685,0.645%,6207103650.0
SH600008,首创环保,2.76,+0.08,2.99%,1.99%,66671197,184323121.0,0.91%,6.634,4.71%,20260030269.0
SH605389,长龄液压,25.15,+0.73,2.99%,-0.86%,797158,19990301.0,2.34%,31.612,1.316%,3623789811.0
SH603733,仙鹤股份,17.34,+0.5,2.97%,-42.27%,2891225,50019932.0,0.41%,22.807,1.788%,12241616054.0
SH603315,福鞍股份,10.75,+0.31,2.97%,-37.13%,2866280,30851716.0,0.93%,63.673,,3300532338.0
SH600386,北巴传媒,3.82,+0.11,2.96%,-1.8%,6768901,25720433.0,0.84%,35.858,2.094%,3080448000.0
SH600148,长春一东,16.42,+0.47,2.95%,20.91%,3334000,54544148.0,2.36%,,0.53%,2323700109.0
SH605598,上海港湾,25.5,+0.73,2.95%,43.67%,2005639,50947650.0,2.72%,41.721,0.251%,6266901446.0
SH600125,铁龙物流,5.94,+0.17,2.95%,10.3%,20017480,118227311.0,1.53%,19.203,1.347%,7754799932.0
SH600477,杭萧钢构,3.5,+0.1,2.94%,-12.85%,23173824,80923440.0,0.98%,29.416,1.0%,8291889032.0
SH600423,柳化股份,3.16,+0.09,2.93%,-7.87%,6521300,20518843.0,0.82%,338.03,,2523876282.0
SH603359,东珠生态,8.08,+0.23,2.93%,-27.78%,5797568,46975759.0,1.3%,,0.124%,3604455680.0
SH603668,天马科技,15.86,+0.45,2.92%,-11.32%,4741600,75177083.0,1.09%,,0.189%,6917100719.0
SH603011,合锻智能,6.69,+0.19,2.92%,-18.12%,4814181,32102213.0,0.97%,,0.448%,3307632584.0
SH601798,蓝科高新,6.71,+0.19,2.91%,-1.03%,3050865,20393212.0,0.86%,,,2378884209.0
SH603737,三棵树,57.63,+1.63,2.91%,-29.12%,4588854,268016090.0,0.87%,52.061,,30371729280.0
SH600728,佳都科技,5.66,+0.16,2.91%,7.2%,39195923,221370188.0,1.84%,,0.265%,12137827352.0
SH600592,龙溪股份,9.54,+0.27,2.91%,37.27%,32185452,304479773.0,8.06%,31.967,1.279%,3811741067.0
SH600571,信雅达,9.22,+0.26,2.9%,0.0%,8223600,75506717.0,1.85%,,2.766%,4303857359.0
SH603636,南威软件,11.37,+0.32,2.9%,-16.77%,7627902,87014916.0,1.29%,43.461,0.748%,6717322982.0
SH603166,福达股份,6.77,+0.19,2.89%,11.41%,6157424,41398364.0,0.95%,54.018,1.477%,4374832567.0
SH603308,应流股份,13.51,+0.38,2.89%,-35.93%,3916770,53113938.0,0.57%,22.151,1.31%,9229314903.0
SH603789,星光农机,8.55,+0.24,2.89%,-0.58%,2356060,20053283.0,0.91%,,,2369367450.0
SH603709,中源家居,17.45,+0.49,2.89%,36.59%,1572280,27367221.0,1.64%,,,1675200000.0
SH600609,金杯汽车,4.64,+0.13,2.88%,11.0%,8686181,40180286.0,0.66%,30.232,,6083970589.0
SH603289,泰瑞机器,9.29,+0.26,2.88%,4.98%,2352186,21709032.0,0.89%,29.289,1.615%,2747249948.0
SH600698,湖南天雁,4.64,+0.13,2.88%,-0.22%,17338871,79967510.0,2.09%,,,4977699348.0
SH601021,春秋航空,49.49,+1.38,2.87%,-22.97%,3689362,181743962.0,0.38%,,,48428380359.0
SH600408,安泰集团,2.51,+0.07,2.87%,-5.99%,25489689,63833041.0,2.53%,,,2527068000.0
SH603959,百利科技,7.53,+0.21,2.87%,-28.76%,9039662,67711560.0,1.84%,274.04,,3691951410.0
SH605098,行动教育,37.27,+1.04,2.87%,37.13%,931263,34414420.0,2.12%,24.806,7.513%,4400789422.0
SH603198,迎驾贡酒,70.3,+1.95,2.85%,14.2%,3577656,250072313.0,0.45%,28.264,1.565%,56240000000.0
SH603919,金徽酒,25.69,+0.71,2.84%,-2.84%,6067222,156446303.0,1.2%,38.426,1.168%,13031509323.0
SH603466,风语筑,11.59,+0.32,2.84%,-14.15%,10678931,124299120.0,1.8%,27.216,0.302%,6893435876.0
SH600770,综艺股份,4.71,+0.13,2.84%,-32.33%,8898226,41681932.0,0.68%,,,6123000000.0
SH603819,神力股份,13.42,+0.37,2.84%,-11.12%,1971392,25928817.0,0.91%,,0.149%,2921939110.0
SH603637,镇海股份,8.34,+0.23,2.84%,11.07%,4544147,37777643.0,1.86%,19.715,1.559%,2032277631.0
SH600686,金龙汽车,8.0,+0.22,2.83%,34.45%,81782406,648047373.0,11.41%,,,5736379336.0
SH603488,展鹏科技,7.99,+0.22,2.83%,25.04%,1899200,15051895.0,0.65%,40.348,2.503%,2333003616.0
SH600744,华银电力,3.27,+0.09,2.83%,-21.96%,17660443,57382948.0,0.87%,22.063,,6641776376.0
SH603656,泰禾智能,12.75,+0.35,2.82%,13.38%,4713673,59942685.0,2.57%,122.148,0.784%,2338035815.0
SH600346,恒力石化,13.47,+0.37,2.82%,-13.26%,14367280,192994199.0,0.2%,,7.498%,94816674117.0
SH600616,金枫酒业,6.19,+0.17,2.82%,-10.72%,6371887,39244420.0,0.95%,29.042,0.485%,4141140641.0
SH600435,北方导航,10.23,+0.28,2.81%,-11.5%,24930687,256108681.0,1.66%,71.219,0.391%,15327227339.0
SH601899,紫金矿业,12.08,+0.33,2.81%,22.87%,129416820,1575510361.0,0.63%,17.953,1.656%,318024980579.0
SH603150,万朗磁塑,27.42,+0.75,2.81%,7.07%,595456,16235181.0,1.14%,16.482,1.309%,2344135800.0
SH600897,厦门空港,12.46,+0.34,2.81%,4.59%,2264710,27999411.0,0.54%,28.0,0.49%,5194997640.0
SH601609,金田股份,6.6,+0.18,2.8%,-0.97%,8598813,56913565.0,0.58%,29.953,1.379%,9760643343.0
SH603665,康隆达,25.0,+0.68,2.8%,-31.19%,1616748,39980332.0,1.01%,38.772,,4095976925.0
SH601600,中国铝业,5.9,+0.16,2.79%,32.78%,125226660,743519690.0,0.96%,24.423,0.61%,101253390151.0
SH603982,泉峰汽车,15.09,+0.41,2.79%,-25.59%,14010466,212069392.0,5.76%,,0.378%,3944065876.0
SH603963,大理药业,10.32,+0.28,2.79%,-20.98%,5205207,53163228.0,2.37%,,,2267304000.0
SH600444,国机通用,13.69,+0.37,2.78%,8.39%,2914900,40061706.0,1.99%,76.8,0.95%,2004516249.0
SH605398,新炬网络,33.1,+0.89,2.76%,65.87%,9529875,314756679.0,25.22%,64.626,0.323%,3860005786.0
SH600559,老白干酒,22.43,+0.6,2.75%,-17.62%,22506219,507173510.0,2.51%,36.515,1.337%,20517785169.0
SH603787,新日股份,13.51,+0.36,2.74%,-23.22%,1260735,16894925.0,0.62%,21.636,3.279%,3109242603.0
SH600815,厦工股份,2.63,+0.07,2.73%,-1.13%,7093580,18572511.0,0.4%,17.436,,4665868482.0
SH600271,航天信息,11.67,+0.31,2.73%,13.46%,10811934,126243718.0,0.58%,16.462,1.5%,21623163725.0
SH605068,明新旭腾,27.48,+0.73,2.73%,-7.0%,1561041,42510840.0,2.97%,43.325,0.364%,4466598540.0
SH603206,嘉环科技,17.77,+0.47,2.72%,17.72%,7853600,138366041.0,9.01%,25.536,1.238%,5423403787.0
SH605100,华丰股份,14.79,+0.39,2.71%,13.71%,1172974,17221192.0,0.69%,53.219,0.676%,2513294280.0
SH603712,七一二,25.02,+0.66,2.71%,-28.06%,5683327,142583121.0,0.74%,24.846,0.44%,19315440000.0
SH600749,西藏旅游,11.35,+0.3,2.71%,-12.63%,3196940,36226829.0,1.41%,,,2576058618.0
SH600765,中航重机,20.54,+0.54,2.7%,-33.52%,15511088,317237730.0,1.06%,21.31,0.803%,30235888309.0
SH600227,赤天化,2.66,+0.07,2.7%,-12.21%,9917380,26364925.0,0.78%,,,4503736975.0
SH605001,威奥股份,6.47,+0.17,2.7%,-18.82%,4817810,31061811.0,1.23%,,,2541972420.0
SH600035,楚天高速,3.81,+0.1,2.7%,16.39%,16768685,63341463.0,1.04%,6.871,3.675%,6134541583.0
SH600975,新五丰,9.51,+0.25,2.7%,33.76%,28448688,268095706.0,4.36%,,,11994887234.0
SH603896,寿仙谷,36.48,+0.96,2.7%,-7.05%,1791788,65104170.0,0.89%,25.744,1.206%,7362707985.0
SH603177,德创环保,12.28,+0.32,2.68%,-25.35%,1532860,18773868.0,0.75%,,,2563941200.0
SH605179,一鸣食品,11.5,+0.3,2.68%,-9.73%,1280539,14641410.0,2.1%,,0.139%,4611500000.0
SH600277,亿利洁能,2.68,+0.07,2.68%,-35.4%,36436270,98028977.0,1.02%,42.396,0.858%,9542467480.0
SH605060,联德股份,20.76,+0.54,2.67%,-18.5%,893500,18394539.0,1.09%,17.694,1.638%,5008474560.0
SH600753,庚星股份,10.01,+0.26,2.67%,-28.96%,4183903,41723423.0,1.95%,,,2305374822.0
SH600733,北汽蓝谷,6.57,+0.17,2.66%,10.42%,292583345,1945576204.0,7.48%,,,36617915820.0
SH603776,永安行,13.5,+0.35,2.66%,8.32%,3702092,49616290.0,1.59%,,0.963%,3140868245.0
SH603500,祥和实业,11.22,+0.29,2.65%,-0.12%,1181000,13195881.0,0.49%,41.162,1.159%,2754888967.0
SH603167,渤海轮渡,6.99,+0.18,2.64%,-2.98%,4071700,28312934.0,0.87%,22.407,2.146%,3279320076.0
SH603823,百合花,9.37,+0.24,2.63%,-22.92%,1978253,18476898.0,0.48%,32.025,1.729%,3861943660.0
SH600526,菲达环保,4.68,+0.12,2.63%,-13.17%,5578200,25976705.0,0.78%,20.514,,4151876695.0
SH600452,涪陵电力,11.71,+0.3,2.63%,-6.15%,14772442,174366038.0,1.35%,27.537,1.281%,12852073408.0
SH603790,雅运股份,13.65,+0.35,2.63%,37.14%,1667750,22555440.0,0.87%,69.406,0.586%,2612064000.0
SH601969,海南矿业,6.27,+0.16,2.62%,-14.17%,13365575,83878874.0,0.66%,26.584,1.563%,12775268012.0
SH603995,甬金股份,20.47,+0.52,2.61%,-24.87%,2720820,55752292.0,0.72%,19.613,2.447%,7806851118.0
SH600730,中国高科,5.51,+0.14,2.61%,-10.99%,6033792,33074129.0,1.03%,,0.127%,3232474571.0
SH605196,华通线缆,7.47,+0.19,2.61%,7.79%,11803972,88518953.0,3.64%,9.674,0.683%,3821219472.0
SH600137,浪莎股份,18.14,+0.46,2.6%,24.56%,5971100,107447151.0,6.14%,101.385,0.717%,1763527046.0
SH605128,上海沿浦,57.4,+1.45,2.59%,7.29%,1815296,103632736.0,2.27%,62.441,0.218%,4592067043.0
SH603966,法兰泰克,8.75,+0.22,2.58%,-5.58%,2341291,20381543.0,0.65%,15.681,2.48%,3150976981.0
SH600661,昂立教育,8.35,+0.21,2.58%,-23.11%,3126311,25913568.0,1.09%,,,2392682731.0
SH600066,宇通客车,13.16,+0.33,2.57%,89.16%,17466581,229720986.0,0.79%,22.502,7.599%,29135440175.0
SH605158,华达新材,6.82,+0.17,2.56%,8.34%,2967950,20216282.0,0.58%,18.384,1.76%,3487884400.0
SH600718,东软集团,9.21,+0.23,2.56%,-7.44%,15334235,140758615.0,1.27%,,0.662%,11175535683.0
SH600579,克劳斯,6.8,+0.17,2.56%,7.59%,2925700,19840043.0,0.59%,,,3384935001.0
SH601872,招商轮船,6.43,+0.16,2.55%,18.66%,28953696,185859252.0,0.36%,10.544,2.955%,52363613128.0
SH600141,兴发集团,18.52,+0.46,2.55%,-33.22%,12444397,231861934.0,1.12%,7.325,5.4%,20588223204.0
SH603667,五洲新春,17.32,+0.43,2.55%,31.61%,12787211,223421718.0,3.92%,45.998,0.924%,6385591777.0
SH603121,华培动力,8.08,+0.2,2.54%,25.08%,3309840,26672000.0,0.98%,52.354,1.931%,2735352417.0
SH603048,浙江黎明,18.17,+0.45,2.54%,23.32%,5781800,103739710.0,15.33%,150.447,1.161%,2668809600.0
SH600844,丹化科技,2.83,+0.07,2.54%,-11.01%,7602100,21422451.0,0.92%,,,2876763599.0
SH603538,美诺华,19.01,+0.47,2.54%,-25.58%,9785175,185433294.0,4.63%,21.936,0.868%,4056827890.0
SH603037,凯众股份,17.4,+0.43,2.53%,45.45%,9995800,173003167.0,7.36%,28.996,2.655%,2370623833.0
SH603755,日辰股份,28.88,+0.71,2.52%,-27.83%,701100,20105944.0,0.71%,55.655,0.693%,2847963107.0
SH603317,天味食品,13.03,+0.32,2.52%,-32.74%,5245519,67791916.0,0.5%,36.216,1.757%,13884441129.0
SH603893,瑞芯微,63.32,+1.55,2.51%,-7.65%,4639208,289685652.0,1.12%,267.989,0.395%,26465252528.0
SH603602,纵横通信,14.68,+0.36,2.51%,29.07%,4325784,62964293.0,2.12%,132.893,0.341%,2992507680.0
SH603917,合力科技,18.0,+0.44,2.51%,-23.43%,2698000,48525132.0,1.72%,46.7,0.722%,2822400000.0
SH600269,赣粤高速,4.08,+0.1,2.51%,23.68%,19753662,80266849.0,0.85%,10.853,2.451%,9528460617.0
SH600290,*ST华仪,1.23,+0.03,2.5%,-42.79%,9599611,11788258.0,1.26%,,,934681319.0
SH600370,三房巷,2.46,+0.06,2.5%,-14.52%,9238570,22690969.0,0.24%,29.544,6.098%,9585006188.0
SH603813,原尚股份,15.96,+0.39,2.5%,12.2%,1095500,17395122.0,1.23%,225.923,1.754%,1695351000.0
SH605298,必得科技,15.2,+0.37,2.49%,18.91%,1105148,16675181.0,2.58%,58.302,0.961%,2196400000.0
SH601816,京沪高铁,4.95,+0.12,2.48%,0.82%,88544685,436437223.0,0.18%,43.503,0.222%,243077098824.0
SH600215,派斯林,8.25,+0.2,2.48%,43.73%,4502300,37137554.0,0.99%,20.206,0.545%,3836521260.0
SH603268,松发股份,16.93,+0.41,2.48%,26.91%,1217295,20443913.0,0.98%,,,2102177784.0
SH600838,上海九百,7.43,+0.18,2.48%,-4.24%,20232154,149809698.0,5.05%,45.367,0.538%,2978553119.0
SH600105,永鼎股份,5.39,+0.13,2.47%,58.06%,30563831,164440208.0,2.21%,32.091,,7570717413.0
SH600590,泰豪科技,6.63,+0.16,2.47%,14.11%,10028001,66609741.0,1.19%,,,5654526443.0
SH603040,新坐标,22.86,+0.55,2.47%,36.66%,1241768,28313704.0,0.93%,16.79,2.187%,3088566503.0
SH601966,玲珑轮胎,19.56,+0.47,2.46%,-4.23%,13616456,265837331.0,0.92%,27.847,0.307%,28822104266.0
SH603156,养元饮品,24.27,+0.58,2.45%,16.78%,2444611,59121006.0,0.19%,18.151,7.417%,30713529672.0
SH603126,中材节能,6.69,+0.16,2.45%,-1.46%,4533000,30284595.0,0.74%,24.796,1.345%,4084245000.0
SH600425,青松建化,3.76,+0.09,2.45%,4.06%,51861336,197846955.0,3.76%,13.923,2.66%,6033685938.0
SH600358,国旅联合,4.61,+0.11,2.44%,-32.99%,4406711,20318572.0,0.87%,847.0,,2327758003.0
